凹	od
蔽	emt
币	eoi
皮	epn
萆	erf
蓖	ers
荜	esf
芘	esw
芭	evc
苞	ewb
本	fdd
博	fff
鞴	ffo
鞭	fjf
丙	fkk
靽	fmi
鞁	fnl
勃	fnn
逋	fnn
鬓	fnr
贲	foj
贲	fok
髟	fqe
醭	fum
靶	fvc
孛	fvd
邴	fvv
鹁	fwd
鞁	fzl
勃	fzz
碧	gai
玤	ggi
斑	ghg
珌	glk
班	gmg
玢	gmn
玢	gmz
玻	gnl
帮	goi
耙	gvc
邦	gvv
表	gwk
玻	gzl
冰	hdd
瘭	hfg
病	hfk
霸	hfv
癍	hgh
斌	hgy
褒	hjw
卞	hkk
辩	hlh
变	hll
辨	hmh
痹	hoa
禀	hog
瓣	hqh
瘢	hqw
庳	hrf
瘪	hrj
瓿	hsk
庇	hsw
亳	htc
疤	hvc
部	hvv
雹	hwb
辫	hxh
跋	ial
啵	idn
啵	idz
哺	ifk
踣	ihi
卟	ijj
咇	ilk
叭	imm
跛	inl
呗	ioj
呗	iok
蹦	iov
嘣	iov
哔	isf
跸	isf
吡	isw
别	iuu
吧	ivc
鄙	ivv
趵	iwk
跛	izl
倴	jaf
佰	jar
佰	jdr
佰	jer
闭	jfe
便	jfk
傍	jhh
倍	jhi
儦	jhm
保	jic
卜	jjj
佖	jlk
伴	jmi
煲	jmm
傧	jnr
伯	jrd
俾	jrf
俴	jss
堡	juu
拔	kal
摒	kbm
搏	kff
捕	kfk
拜	kgg
捌	kiu
拌	kmi
掰	kmk
扒	kmm
扮	kmn
播	kmo
扮	kmz
彼	knl
拨	knl
摈	knr
摆	kou
扳	kql
搬	kqw
捭	krf
把	kvc
报	kvl
抱	kwb
彼	kzl
拨	kzl
弁	lai
畚	lao
裱	lgw
谤	lhh
褓	lji
补	ljj
必	lkk
祕	llk
褊	llo
被	lnl
诐	lnl
遍	lnn
扁	loi
裨	lrf
邲	lvv
褙	lyv
被	lzl
诐	lzl
弊	mai
颁	maj
熛	mfg
炳	mfk
糒	mfr
并	mgi
焙	mhi
半	mii
蹩	miy
憋	mlk
煸	mlo
八	mmm
迸	mnn
爆	mrf
敝	mtk
攽	mtk
坌	muu
爸	mvc
粑	mvc
羓	mvc
邠	mvv
炮	mwb
鳖	mwd
豹	mwk
鳖	mwo
怖	nao
窆	nel
悖	nfv
宝	ngk
忭	nhk
办	nkk
办	nmm
边	nnn
宾	nrm
愎	ntr
愎	ntw
豳	oaa
畀	oai
贬	oel
幖	ofg
蛃	ofk
蚌	ogi
贝	ojj
贝	okk
蝙	olo
嶓	omo
髌	onr
赑	ooo
髀	orf
睥	orf
败	otk
罢	oul
岜	ovc
蚆	ovc
崩	ovv
舨	qql
舶	qrd
舭	qsw
般	qwl
魃	ral
白	rdd
暴	rfd
卑	rff
暴	rfj
晡	rfk
昺	rfk
昪	rla
兵	rmm
鼻	roa
帛	roi
版	rql
昄	rql
曝	rrf
魄	rrl
鹎	rwd
妭	sal
毙	saw
毕	sff
婊	sgw
毖	slk
匾	slo
婢	srf
妣	ssw
坒	suu
比	sww
簿	tdf
箔	tdr
笨	tfd
簸	tfn
簸	tfz
拜	tgi
秉	tkk
秘	tlk
馝	tlk
掰	tmk
笾	tnn
箅	toa
稗	trf
篦	trs
筚	tsf
秕	tsw
笔	ttc
犇	ttt
笆	tvc
笾	tzn
埲	ugg
塝	uhh
坝	uoj
坝	uok
坂	uql
埤	urf
埠	uri
甏	usk
埗	uyp
胈	val
巴	vcc
膊	vff
膘	vfg
脖	vfv
脿	vgw
膀	vhh
陂	vnl
膑	vnr
阪	vql
陛	vsu
胞	vwb
孢	vwb
陂	vzl
鲅	wal
包	wbc
鲾	wdi
鳔	wfg
饽	wfv
惫	wlk
鳊	wlo
饼	wmg
飚	wmm
备	wod
狈	woj
狈	wok
惫	wol
鲌	wrd
狴	wsu
刨	wuu
鲃	wvc
饱	wwb
鲍	wwb
飑	wwb
鸨	wwd
匕	www
骠	xfg
绑	xgv
缏	xjf
编	xlo
绊	xmi
驳	xmm
缤	xnr
绷	xvv
锛	yaa
锛	yaf
钚	yak
钹	yal
钸	yao
步	yee
钵	yfd
镈	yff
镖	yfg
镑	yhh
镳	yhm
悲	ylk
铋	ylk
镔	ynr
钡	yoj
钡	yok
镚	yov
步	ype
彪	yqe
钣	yql
铂	yrd
辈	ysi
钯	yvc
背	yvv
钯	yvv
邶	yvv
龅	ywb
北	yww
办	zkk
办	zmm
边	znn
厂	aaa
碴	acr
厨	adf
礤	aew
厝	afr
辰	agk
残	agk
唇	aii
蹙	aiy
成	akk
碜	ala
碜	alq
磋	amf
磁	amx
盛	aod
殂	aod
厕	aou
砗	asi
存	avd
础	avi
层	bgl
尺	bkk
羼	bmm
弨	bni
迟	bnn
弛	bvc
孱	bvv
弨	bzi
橱	cad
楂	ccr
村	cfd
材	cfe
村	cfk
槽	cfr
楮	cfr
楱	cgg
椿	cgr
榇	chf
樗	chg
榱	cho
榱	chw
棽	cjc
椎	cjh
枞	cjj
橙	cld
杈	clk
柽	clu
槎	cmf
檫	cng
檫	cnw
梣	coj
查	crd
梴	crl
槌	crn
棰	ctd
杵	ctf
杵	cti
枨	ctk
楚	cvk
郴	cvv
椽	cxk
椽	cxw
潺	dbv
濋	dcv
豉	dfl
漕	dfr
潮	dfv
浐	dhe
淬	dhf
淳	dhi
淬	dhj
澶	dho
瀍	dho
澶	dhr
澈	dht
淳	dhv
㳘	dhw
鬲	dii
鬲	dio
沧	djx
沈	dlc
澄	dld
汊	dlk
沉	dlw
淙	dng
涔	doj
漼	doj
澂	dot
测	dou
池	dvc
滁	dvj
藏	eaf
蒇	eao
茬	eau
棤	efr
莿	efu
萃	ehh
蔟	eht
茨	ehw
茺	ehw
茶	ejc
苁	ejj
茌	eju
莝	eju
苍	ejx
菜	emc
草	erf
菖	err
苌	etk
蔡	evg
蔡	ewg
葱	ewl
莼	exs
茈	eyw
臣	fcc
才	fee
矗	fff
醋	ffr
醇	fhi
裁	fhk
醇	fhv
裁	fhw
酲	fig
寸	fkk
翅	fll
酬	fmi
聪	fml
曹	frr
酢	ftd
敕	ftk
刺	fuu
朝	fvv
韂	fwh
耻	fyd
珹	gak
瑃	ggr
珫	ghw
亍	gii
琛	glc
瑳	gmf
琮	gng
璀	goj
蚕	gok
蠢	goo
耖	gpe
舂	grd
璁	grl
春	grr
刬	guu
琡	gyl
璨	gym
玼	gyw
颤	haj
床	hcc
产	hee
瘈	hga
凑	hgg
瘛	hgl
瘁	hhf
啻	hii
卒	hjf
卒	hjj
痤	hju
疮	hjx
瘳	hlj
瘥	hmf
疢	hmm
畜	hod
冲	hoi
廛	hou
衰	how
瓷	hsk
痓	hsu
痴	hti
庱	hum
鹑	hwd
次	hwj
次	hwk
充	hwm
疵	hyw
蹰	iad
喳	icr
躇	ief
嗔	ifm
嘈	ifr
嘲	ifv
呈	igd
踌	igf
蹴	iha
啐	ihj
躔	iho
噇	iho
啜	ill
踩	imc
蹉	imf
蹭	imr
噌	imr
逞	inn
蹿	ino
嚓	inw
喘	ioa
踹	ioa
吵	ipe
嘬	irf
唱	irr
吃	itc
踟	iti
哧	ium
哧	iur
嗤	ivo
吹	iwj
吹	iwk
叱	iww
踔	iyr
呲	iyw
伺	jbi
伺	jcd
丛	jdd
俦	jgf
传	jgk
尝	jgl
隹	jhd
裳	jhk
侪	jhr
裳	jhw
佽	jhw
促	jiy
偿	jjg
倘	jji
从	jjj
伧	jjx
僜	jld
储	jlf
雠	jlj
阐	jmo
偁	jmo
侘	jnt
常	joi
催	joj
侧	jou
倡	jrr
阊	jrr
牚	jse
氅	jtc
敞	jtk
伥	jtk
敞	jtm
创	juu
傺	jvg
侴	jvu
傺	jwg
仇	jww
侈	jww
儳	jww
闯	jxd
仓	jxx
搽	kej
措	kfr
摏	kgr
摴	khg
搐	kho
摛	kho
撤	kht
操	kic
徜	kji
撑	kjk
徜	kjo
挫	kju
彳	kkk
掺	kla
惩	klk
搓	kmf
撺	kno
擦	knw
揣	koa
抽	kod
徂	kod
抻	koi
摧	koj
抄	kpe
拆	kqk
搋	kqy
撮	krf
彻	ksn
彻	ksz
插	ktd
捶	ktd
攒	kto
持	kuf
搀	kwn
扯	kyd
诚	lak
参	laq
祠	lbi
词	lbi
祠	lcd
词	lcd
衬	lfk
谌	lfm
褚	lfr
翠	lhf
裎	lig
谶	ljs
谶	ljy
叉	lkk
衩	llk
禅	lmo
皴	lnl
初	lnn
诧	lnt
翀	loi
参	lqe
褫	lqy
昶	lrr
戳	lsk
谗	lwn
谄	lwr
皴	lzl
初	lzz
冁	mbf
采	mcc
汆	mdd
差	mfd
豺	mfe
煁	mfm
粹	mhf
炽	mim
慈	mlk
糍	mmx
粗	mod
岔	moi
灿	moi
单	moi
肏	moj
肏	mok
炒	mpe
彩	mqe
曾	mrr
瓻	msk
䝙	msm
糙	mtn
刹	muu
鹚	mwd
炊	mwj
鬯	mww
兹	mxx
焯	myf
焯	myr
宸	nag
宬	nak
宠	naw
怵	nck
憷	ncv
忖	nfk
悴	nhf
悴	nhj
憧	nho
惝	nji
怆	njx
惨	nla
忱	nlc
惙	nll
惨	nlq
悰	nng
怊	nni
惴	noa
窜	noi
忡	noi
恻	nou
窗	nrk
窗	nrw
穿	nse
惭	nsq
忏	nti
怅	ntk
察	nvg
察	nwg
惆	nwu
怊	nzi
财	ofe
螬	ofr
畴	ogf
帱	ogf
蝽	ogr
幢	oho
螭	oho
串	oii
岑	ojc
蜍	ojg
崔	ojh
瞠	oju
虫	okk
黪	ola
蛏	olu
睬	omc
嵯	omf
蝉	omo
畅	one
崇	ong
遄	onn
辿	onn
圌	ooa
赐	orw
瞅	otm
黜	ovi
蟾	owh
眵	oww
畅	oze
尘	puu
舡	qfd
艚	qfr
艟	qho
舱	qjx
斥	qkk
斶	qow
船	qwi
晨	rag
臭	rak
爨	rca
魑	rho
㬚	rht
川	rii
囱	rkk
晁	rmk
晁	rmn
晁	rmz
旵	roi
昌	rrr
囱	rwk
匙	rww
辏	sgg
车	sii
嫦	sjo
辍	sll
婵	smo
姹	snt
虿	sok
娼	srr
媸	svo
邨	svv
重	tdd
垂	tdd
策	tfk
筹	tgf
辞	thf
秤	thi
簇	tht
程	tig
罉	tjk
矬	tju
长	tkk
掣	tkk
笞	tli
愁	tlk
篡	toa
种	toi
篪	tqy
氚	tri
犨	tti
毳	ttt
称	twp
稠	twu
乘	tyw
城	uak
墀	ubd
墀	ubt
堾	ugr
埕	uig
趁	ujq
赤	umm
场	une
超	uni
垞	unt
坼	uqk
赤	urk
坻	uwk
赪	uyj
场	uze
超	uzi
承	vcm
丑	vdd
丞	vdd
腠	vgg
膪	vhi
出	vii
除	vjg
脞	vju
承	vkk
塍	vmu
肠	vne
蚩	vok
陈	vsk
陲	vtd
胣	vtv
䢺	vvv
脆	vwa
脆	vwx
肠	vze
刍	wbd
猹	wcr
馇	wcr
册	wdd
䲠	wgr
猜	wgv
猝	whf
鲿	wjg
雏	wjh
处	wjj
匆	wkk
触	wok
猖	wrr
鲳	wrr
舛	wsi
饬	wtn
饬	wtz
鸱	wwd
馋	wwn
骣	xbv
巛	xcc
缠	xho
骖	xla
巢	xok
骋	xos
骢	xrl
纯	xsc
剿	xuu
驰	xvc
绌	xvi
绸	xwu
绰	xyf
绰	xyr
铖	yak
柴	ycc
错	yfr
镡	yfr
铲	yhe
铳	yhw
齿	yii
龊	yiy
餐	yjb
铛	yjb
雌	yjh
餐	yjl
锉	yju
齿	yjv
钗	ylk
鹾	ymf
粲	ymk
逴	ynn
镩	yno
镲	ynw
觇	yoc
锄	yon
觇	yow
锄	yoz
钞	ype
钏	yri
锤	ytd
锸	ytd
此	yww
龀	yww
鿎	aan
碟	afc
耷	afd
夺	afk
磹	afr
碲	aho
礅	aht
石	aii
碓	ajh
大	akk
歹	akk
磴	ald
殆	ali
殚	amo
䃅	amo
砀	ane
碇	anf
达	ann
硐	aod
硐	aoi
碘	aom
砘	asc
砥	awk
碉	awu
砀	aze
刁	bbb
导	bfk
屌	bio
弹	bmo
逮	bnn
殿	bwl
杕	cak
棣	cbk
椟	cfc
椟	cfn
档	cjb
柁	cnw
椴	crw
栋	csk
杜	cuu
柢	cwk
汈	dbb
豆	ddd
渎	dfc
滇	dfm
渎	dfn
滴	dhf
渡	dhl
滴	dho
豆	dim
澄	dld
淡	dmm
淀	dnf
逗	dnn
洞	dod
洞	doi
沓	drr
沌	dsc
沲	dtv
剅	duu
凼	dvv
涤	dwc
涤	dwf
荙	ean
荡	edn
荡	edz
蒂	eho
菪	ena
萣	enf
蔸	erw
菂	erw
董	etd
丢	eul
芏	euu
荻	ewm
萏	ewr
顶	faj
颠	faj
鞑	fan
丁	fff
酊	fff
耵	fff
耽	flc
觌	foc
聃	fod
戴	fof
带	foi
蠹	foo
觌	fow
靼	frd
鞮	frf
耋	fsu
都	fvv
叇	gbn
玎	gff
玳	gjs
璒	gld
焘	gmm
靛	gnf
琔	gnf
动	gnn
纛	gow
瑖	grw
玓	gwk
毒	gxk
玷	gyi
动	gzz
癜	hbw
痘	hdd
瘩	hej
癫	hfa
疔	hff
度	hfl
癫	hfq
憝	hlk
瘅	hmo
亸	hmo
遆	hnn
端	hoa
盗	hod
帝	hoi
疸	hrd
冻	hsk
敦	htk
底	hwk
凋	hwu
店	hyi
呔	iak
哒	ian
跶	ian
叼	ibb
呆	icc
嗒	iej
喋	ifc
叮	iff
嘟	ifv
嘀	ihf
嘀	ihi
踱	ihl
踮	ihy
嘚	ikr
蹬	ild
噔	ild
蹲	imf
啖	imm
蹈	imr
嗲	imw
啶	inf
叨	inn
吊	ioi
啲	irw
吨	isc
跌	itk
哋	iuv
咄	ivi
跺	iwc
哚	iwc
咚	iwn
哆	iww
叨	izz
当	jbd
仃	jff
傣	jgd
袋	jhw
僜	jld
侗	jod
佃	jod
侗	joi
岱	joi
贷	joj
贷	jok
黛	jom
但	jrd
代	jsk
倒	jsu
儋	jwh
低	jwk
党	jww
搭	kej
揲	kfc
打	kff
德	kfl
掂	khy
挡	kjd
掇	kll
掸	kmo
掟	knf
抖	kni
担	krd
提	krf
得	krg
扽	ksc
待	kuf
垫	kuu
抵	kwk
捣	kwo
掉	kyr
登	ldd
登	ldi
褡	lej
谍	lfc
订	lff
对	lfk
读	lfn
祷	lgf
谛	lho
禘	lho
裆	ljd
翟	ljh
谠	ljw
怼	llk
怠	llk
裰	lll
迨	lnn
叠	lod
诞	lrl
剟	luu
邓	lvv
襜	lwh
诋	lwk
祋	lwl
调	lwu
凳	lww
扂	lyi
奠	mak
弟	mbe
弟	mee
灯	mff
兑	miw
籴	mmk
貂	mni
道	mnn
递	mnn
单	moi
断	mqi
炟	mrd
煅	mrw
炖	msc
郸	mvv
羝	mwk
爹	mww
貂	mzi
宕	nai
惰	nav
懂	net
窦	nfc
斗	nff
定	nfk
窦	nfn
惇	nhv
惦	nhy
斗	nii
惮	nmo
刀	nnn
忉	nnn
恫	nod
恫	noi
怛	nrd
窎	nwd
憺	nwh
悼	nyf
忉	nzz
耑	oai
頔	oam
鼎	oby
电	occ
巅	ofa
蝶	ofc
黩	ofc
町	off
盯	off
黩	ofn
䗖	ofo
巅	ofq
赌	ofr
睹	ofr
帱	ogf
眈	olc
瞪	old
嶝	old
睇	omb
睇	ome
典	omm
赕	omm
蚪	onf
蚪	oni
迪	onn
峒	ood
峒	ooi
髑	oow
盹	osc
囤	osc
岽	osk
骶	owk
遁	qnn
舠	qnn
舵	qnw
盾	qod
瓞	qtk
舠	qzz
昽	rak
旦	rdd
牒	rfc
牍	rfc
牍	rfn
戥	rsk
躲	rwc
的	rwk
段	rwl
兜	rww
顿	saj
轪	sak
甙	sfd
嫡	shf
趸	siy
东	skk
妒	sle
娣	smb
娣	sme
妲	srd
到	suu
鸫	swd
第	tbe
短	tdd
短	tdi
犊	tfc
犊	tfn
簟	tfr
筜	tjb
答	tji
簦	tld
簦	tli
氮	tmm
箪	tmo
簖	tmq
稻	tmr
迭	tnn
笛	tod
笪	trd
氘	trr
篼	trw
敌	ttk
敌	ttm
等	tuf
氡	twn
笃	txd
垯	uan
埭	ubk
塔	uej
堞	ufc
堵	ufr
墩	uht
堆	ujh
㙍	ull
垌	uod
垌	uoi
堤	urf
塅	urw
垤	usu
地	uvc
垛	uwc
坻	uwk
坫	uyi
膻	vho
膻	vhr
队	vjj
䏲	vmb
腚	vnf
胴	vod
胴	voi
蛋	vok
胆	vrd
疍	vrd
胨	vsk
肚	vuu
堕	vuu
陡	vuy
阽	vyi
朵	wcc
丹	wdd
鸟	wdd
鲽	wfc
雕	wjh
氐	wkk
狄	wmm
冬	wnn
鱽	wnn
甸	wod
岛	woi
独	wok
剁	wuu
饳	wvi
邸	wvv
多	wwk
鲷	wwu
鱽	wzz
驮	xak
缔	xho
骀	xli
绐	xli
绨	xmb
绨	xme
缎	xrw
绖	xsu
缍	xtd
铤	yel
铥	yeu
钉	yff
镝	yhf
镝	yhi
镀	yhl
镝	yho
镦	yht
铞	yio
铛	yjb
镫	yld
铎	ylg
铫	ymk
点	ymm
铫	ymn
铫	ymz
锭	ynf
钭	ynf
钭	yni
督	yod
钿	yod
锝	yrg
锻	yrw
钝	ysc
铥	ytl
铤	ytl
钓	ywk
刀	zzz
奀	aak
砵	afd
而	aii
而	aoi
鸸	awd
厄	axx
洱	dfd
涐	dtk
苊	eax
萼	eig
蒽	eol
莪	etk
耳	fdd
噩	fii
恶	flk
垩	fuu
珥	gfd
二	ggg
颚	iaj
呃	iax
咡	ifd
唔	ifi
噁	ifl
嗯	iol
哦	itk
鄂	ivv
鹗	iwd
佴	jfd
俄	jtk
扼	kax
摁	kol
谔	lig
讹	ljw
诶	llt
额	naj
愕	nig
峏	oai
崿	oig
恩	olk
蛾	otk
峨	otk
遏	rnn
轭	sax
贰	sgo
娥	stk
婀	svf
鹅	twd
陑	vai
阿	vfi
腭	vig
鲕	wai
饵	wfd
鳄	wig
迩	wnn
尔	wpk
饿	wtk
儿	www
铒	yfd
锷	yig
锇	ytk
砩	abi
豮	afo
砆	agk
否	aii
奋	aod
砝	aul
矾	awk
砜	awm
弗	bii
费	boj
费	bok
艴	bwv
樊	cak
榑	cff
枋	che
焚	cmm
棼	cmn
桴	cmv
棼	cmz
榧	csy
枹	cwb
梵	cwk
枫	cwm
沸	dbi
泛	del
沣	dgi
涪	dhi
洑	dja
浮	dmd
滏	dmg
㳇	dmk
汾	dmn
瀵	dmo
汾	dmz
法	dul
副	duu
淝	dvv
氾	dxx
芣	eak
䓛	ebv
藩	edm
范	edx
芾	efi
芙	egk
芳	ehe
茯	eja
苻	ejf
乏	elk
芬	emn
蕃	emo
莩	emv
芬	emz
蒽	eol
蘩	etx
葑	euf
菔	evv
菲	eyd
菲	eyy
甫	fkk
覆	fkt
酚	fmn
酚	fmz
敷	ftk
敷	ftm
奉	ggi
麸	ggk
玞	ggk
丰	gii
夫	gkk
玢	gmn
琈	gmv
玢	gmz
珐	gul
酆	gvv
方	hec
方	hee
府	hjf
废	hnl
腐	hoj
腐	hok
放	htk
邡	hvv
鄜	hvv
疯	hwm
冯	hxd
霏	hyd
痱	hyd
霏	hyy
痱	hyy
废	hzl
吠	iak
唪	igg
趺	igk
呋	igk
咐	ijf
跗	ijf
㕮	imk
吩	imn
蹯	imo
吩	imz
啡	iyd
啡	iyy
伏	jak
佛	jbi
傅	jff
付	jfk
偾	jfo
俸	jgg
仿	jhe
俯	jhj
阀	jjs
份	jmn
俘	jmv
份	jmz
伐	jsk
垡	juu
拂	kbi
抚	kgc
扶	kgk
彷	khe
拊	kjf
摁	kol
祓	lal
福	ldi
房	lhe
访	lhe
祊	lhe
袱	lja
讣	ljj
翂	lmn
翂	lmz
袯	lnl
讽	lwm
诽	lyy
扉	lyy
袯	lzl
烦	maj
頫	mam
粪	mfm
釜	mgd
父	mkk
忿	mlk
翻	mll
粉	mmn
燔	mmo
粉	mmz
分	mnn
番	mod
斧	mqi
孚	mvd
郛	mvv
烽	mwg
分	mzz
怫	nbi
富	ndi
愤	nfo
飞	nkk
发	nll
悱	nyd
悱	nyy
罘	oak
幅	odi
蝠	odi
赙	off
蚨	ogk
赋	ogy
蚄	ohe
罚	olu
幡	omo
蜉	omv
赗	ooo
贩	oql
畈	oql
蝮	otr
蝮	otw
崶	ouf
幞	oum
酆	ovv
峰	owg
蜂	owg
帆	owk
舫	qhe
反	qll
返	qnn
阜	rff
昉	rhe
阜	rii
鼢	rmn
鼢	rmz
妃	sbc
妇	sbd
辐	sdi
辅	sfk
妨	she
匪	syd
氟	tbi
簠	tfo
牥	the
符	tjf
筏	tjs
氛	tmn
稃	tmv
氛	tmz
复	trw
篚	tsy
馥	ttr
馥	ttw
缶	tvv
复	twk
繁	txp
黻	ual
封	ufk
黼	ufk
坊	uhe
坟	uhk
坟	uhm
赴	ujj
坋	umn
墦	umo
坋	umz
肺	vfi
脯	vfk
肤	vgk
防	vhe
肪	vhe
腑	vhj
附	vjf
腹	vtr
腹	vtw
肥	vvc
朏	vvi
服	vvl
腓	vyd
腓	vyy
狒	wbi
匐	wdi
鲼	wfo
鲂	whe
鲋	wjf
凡	wkk
凤	wll
风	wmm
孵	wmv
逢	wnn
负	woj
负	wok
饭	wql
鳆	wtr
鳆	wtw
凫	www
犯	wxx
鲱	wyd
鲱	wyy
绂	xal
绋	xbi
缚	xff
纺	xhe
驸	xjf
纷	xmn
纷	xmz
缝	xwn
绯	xyd
绯	xyy
镄	ybo
棐	ycc
非	ydd
钫	yhe
斐	yhk
斐	yhm
翡	yll
蜚	yok
剕	yuu
锋	ywg
钒	ywk
非	yyd
飞	zkk
发	zll
顾	aaj
龚	afm
矸	agi
磙	ahl
磙	ahw
尬	ajr
感	alk
尴	auo
硅	auu
硌	awi
弓	bcc
艮	bkk
夬	bkk
改	btk
敢	btk
改	btm
根	cbk
概	cbs
橄	cbt
杠	cfd
柑	cfd
梗	cfk
杆	cgi
槁	chi
槁	cho
椁	chv
桧	cjg
桄	cjw
棺	cno
㭎	com
槔	cra
棍	crs
柜	csc
梏	cti
栝	cti
桂	cuu
格	cwi
枸	cwi
构	cwl
溉	dbs
澉	dbt
滆	ddi
灌	dei
港	dfb
泔	dfd
㽏	dfd
沽	dfi
浭	dfk
滚	dhm
滚	dhw
鬲	dii
鬲	dio
涡	dio
涫	dno
洄	doi
亘	drd
汩	drr
瀔	duw
沟	dwl
淦	dyy
茛	ebk
藁	ecc
苷	efd
藁	ehc
荄	ehk
芥	ejr
蒄	elg
莞	eng
蓇	eov
葛	erw
菇	esf
菰	evq
鹳	ewd
苟	ewi
嘏	fbb
丐	fcc
工	fdd
甘	fdd
汞	fdd
哥	ffi
酤	ffi
酐	fgi
鞲	fgo
辜	fhf
古	fii
革	fii
耇	fii
恭	fjk
更	fkk
共	fmm
耿	fmm
过	fnn
功	fnn
瞽	fod
革	foi
贡	foj
贾	foj
贾	fok
乾	ftc
聒	fti
攻	ftk
故	ftk
攻	ftm
䢼	fvv
鸪	fwd
歌	fwj
巩	fwk
功	fzz
珙	gfm
耕	ggi
干	gii
珖	gjw
遘	gnn
觏	goc
规	gow
觏	gow
瑰	grl
珪	guu
庚	hbk
赓	hbo
广	hee
冮	hfd
疳	hfd
庋	hfl
高	hio
戆	hlk
衮	hmw
痼	hof
高	hoi
裹	how
疙	htc
郭	hvv
膏	hvv
鹒	hwd
赣	hwf
嘎	ias
跟	ibk
哏	ibk
嘅	ibs
噉	ibt
嗝	idi
噶	ier
咁	ifd
咕	ifi
哽	ifk
咣	ijw
咖	ini
呙	iok
呱	iqk
啩	iuj
剐	iuu
跪	iwa
咯	iwi
喼	iwl
跪	iwx
咖	izi
颌	jaj
估	jfi
供	jfm
个	jii
伽	jni
倌	jno
傀	jrk
仡	jtc
闺	juu
刽	juu
鸽	jwd
阁	jwi
佝	jwi
光	jww
伽	jzi
撖	kbt
扛	kfd
擀	kfj
拱	kfm
搞	kho
拐	kin
拐	kiz
搿	kjk
搁	kjw
掴	kog
括	kti
挂	kuu
掼	kxo
颈	laj
诂	lfi
冠	lgf
癸	lgk
该	lhj
该	lhk
雇	ljh
观	loc
祼	lok
观	low
诟	lqi
诰	lti
褂	luj
诖	luu
诡	lwa
袼	lwi
诡	lwx
炔	mbk
爟	mei
关	mgk
谷	mii
谷	mji
公	mll
羹	mma
糕	mmm
羔	mmm
盖	mod
馘	msi
羖	mwl
虢	myc
寡	nan
寡	naz
哿	nfi
宫	nii
怪	nlu
官	nod
尕	npk
戤	nsk
割	nuu
宄	nww
惯	nxo
甴	odd
罡	ofd
固	ofi
蛄	ofi
罟	ofi
国	ogk
崞	ohi
赅	ohk
崞	ohv
蛤	oji
果	okk
蚣	oml
冈	omm
蛊	ood
崮	oof
帼	oog
蝈	oog
贵	ooj
蜾	ook
岗	oom
虼	otc
刚	ouu
刿	ouu
骨	ovv
鹘	owd
骼	owi
岣	owi
购	owl
尜	pap
归	pbd
舸	qfi
瓜	qkk
皋	raf
躬	rbc
杲	rcc
旰	rgi
晐	rhj
鬼	rkk
