一	hh
冻	dl
冼	df
冽	dt
净	dh
凄	dh
准	dv
凇	dm
凉	di
凋	dn
凌	dy
减	da
凑	dg
凛	di
凝	dl
几	wn
凡	wd
凤	wa
凫	sw
凭	vw
凯	ew
凰	wb
凳	xw
凵	ui
凶	ux
凸	ih
凹	in
出	ue
击	fu
凼	ux
函	wu
凿	xk
刀	hj
刁	nh
刂	gi
刃	hd
分	gh
切	lh
刈	gx
刊	gt
刍	he
刎	gh
刑	gh
划	ga
刖	gn
列	gt
刘	gi
则	gr
刚	gn
创	gv
初	th
删	gn
判	gg
刨	gh
利	gu
别	go
刭	gz
刮	gt
到	gu
刳	gr
制	gf
刷	gp
券	gh
刹	gx
刺	gm
刻	gi
刽	gv
刿	ge
剀	ge
剁	gw
剂	gi
剃	gg
削	gw
剌	gm
前	kn
剐	go
剑	gv
剔	gb
剖	gi
剜	gn
剞	gr
剡	gr
剥	ge
剧	gp
剩	gu
剪	kh
副	gh
割	gn
剽	gq
剿	gl
劁	gv
劂	jg
劈	ph
劐	gh
劓	gb
力	xj
劝	ax
办	xg
功	ix
加	xo
务	ax
劢	tx
劣	wx
动	gx
助	bx
努	ax
劫	yx
劬	hx
劭	hx
励	jx
劲	zx
劳	hx
劾	ix
势	fx
勃	xx
勇	zx
勉	hx
勋	ox
勐	zx
勒	hx
勖	bx
勘	bx
募	hx
勤	hx
勰	xq
勹	hn
勺	hd
勾	hu
勿	hj
匀	hd
包	hl
匆	hj
匈	hx
匍	hf
匏	rh
匐	hh
匕	ll
化	vl
北	kl
匙	bl
匚	cl
匝	ce
匠	cj
匡	cg
匣	cq
匦	cl
匪	cx
匮	cf
匹	cw
区	cx
医	cv
匾	cp
匿	ch
十	xi
千	ti
卅	hg
升	jh
午	vx
卉	xh
半	gf
华	vx
协	xx
卑	bx
卒	ix
卓	lx
单	gb
卖	xn
南	xn
博	xf
卜	ld
卞	df
卟	ol
占	lo
卡	yl
卢	lp
卣	lq
卤	lq
卦	yl
卧	cl
卩	pi
卫	ph
卮	jl
卯	pc
印	pc
危	hl
即	pr
却	py
卵	pc
卷	gl
卸	pv
卺	wl
卿	cr
厂	jj
厄	jl
厅	jt
历	jx
厉	jt
压	jy
厌	jr
厍	jl
厕	jr
厘	jb
厚	jb
厝	jh
原	jb
厢	jm
厣	jq
厥	jk
厦	jt
厨	jh
厩	jr
厮	jb
厶	ud
去	yu
县	bu
叁	ug
参	uj
又	ad
叉	ad
及	ad
友	xa
双	aa
反	ja
发	la
叔	ya
取	pa
受	ja
变	ia
叙	va
叛	gj
叟	ua
叠	an
口	oh
古	xo
句	ho
另	ox
叨	oh
叩	po
只	og
叫	ol
召	ho
叭	og
叮	ot
可	to
台	uo
叱	ol
史	ox
右	xo
叵	co
叶	ox
号	oh
司	nh
叹	oa
叻	ox
叼	on
叽	ow
吁	ot
吃	ov
各	ao
吆	ow
合	vo
吉	yo
吊	oe
同	nh
名	do
后	jo
吏	ho
吐	oy
向	jo
吒	oj
吓	of
吕	oo
吖	og
吗	os
君	eo
吝	io
吞	ho
吟	ov
吠	or
吡	ol
吣	ow
否	to
吧	ol
吨	ol
吩	og
含	vo
听	oj
吭	oi
吮	ou
启	po
吱	ox
吲	ow
吴	oh
吵	ow
吸	oa
吹	oh
吻	oh
吼	oz
吾	eo
呀	or
呃	oj
呆	om
呈	og
告	fo
呋	or
呐	on
呒	og
呓	oh
呔	or
呕	oc
呖	oj
呗	or
员	ro
呙	on
呛	ov
呜	os
呢	op
呤	ov
呦	ow
周	ny
呱	oj
呲	oy
味	om
呵	ot
呶	oa
呷	oq
呸	ot
呻	ob
呼	ot
命	vo
咀	ob
咂	oc
咄	ou
咆	oh
咋	ov
和	uo
咎	ao
咏	od
咐	ov
咒	ow
咔	oy
咕	ox
咖	ox
咙	ox
咚	oa
咛	on
咝	ow
咣	ow
咤	on
咦	or
咧	ot
咨	do
咩	oy
咪	ox
咫	po
咬	oi
咭	oy
咯	oa
咱	ob
咳	oi
咴	ox
咸	ao
咻	ov
咽	oq
咿	ov
哀	io
品	oo
哂	oq
哄	oh
哆	od
哇	oy
哈	ov
哉	xo
哌	oj
响	oj
哎	oh
哏	or
哐	oc
哑	oh
哒	or
哓	oa
哔	ol
哕	oe
哗	ov
哙	ov
哚	ow
哜	oi
哝	on
哞	ou
哟	ow
哥	tt
哦	oj
哧	oy
哨	ow
哩	ob
哪	oh
哭	or
哮	oj
哲	fo
哳	of
哺	of
哼	oi
哽	oh
哿	xt
唁	oi
唆	ou
唇	jo
唉	ou
唏	ox
唐	je
唑	ov
唔	oe
唛	oy
唠	oh
唢	ow
唣	ob
唤	oh
唧	or
唪	og
唬	oj
售	vo
唯	ov
唰	op
唱	ob
唳	op
唷	oi
唼	oi
唾	ot
唿	oh
啁	on
啃	oy
啄	os
商	in
啉	om
啊	op
啐	oi
啕	oh
啖	or
啜	oa
啡	ox
啤	ob
啥	ov
啦	of
啧	oy
啪	of
啬	yq
啭	ol
啮	oy
啵	od
啶	on
啷	od
啸	oe
啻	io
啼	oi
啾	ou
喀	on
喁	ob
喂	oq
喃	ox
善	gk
喇	om
喈	ol
喉	ov
喊	oa
喋	oh
喏	oh
喑	oi
喔	op
喘	oe
喙	oo
喜	yo
喝	ob
喟	oq
喧	on
喱	oj
喳	om
喵	oh
喷	ox
喹	or
喻	ov
喽	ox
喾	wf
嗄	ot
嗅	ob
嗉	oy
嗌	ok
嗍	ok
嗑	oy
嗒	oh
嗓	oa
嗔	ox
嗖	ou
嗜	oj
嗝	oh
嗟	og
嗡	og
嗣	on
嗤	ou
嗥	ob
嗦	ox
嗨	od
嗪	og
嗫	op
嗬	oh
嗯	oq
嗲	og
嗳	oj
嗵	oz
嗷	oy
嗽	om
嗾	oi
嘀	oi
嘁	oa
嘈	oq
嘉	yx
嘌	oq
嘎	ot
嘏	xz
嘘	oj
嘛	oj
嘞	oh
嘟	oj
嘣	oe
嘤	or
嘧	on
嘬	ob
嘭	oy
嘱	op
嘲	ox
嘴	oy
嘶	ob
嘹	or
嘻	oy
嘿	oq
噌	og
噍	ov
噎	oy
噔	ox
噗	ox
噘	oj
噙	ov
噜	ou
噢	oj
噤	om
器	or
噩	go
噪	oo
噫	oi
噬	ok
噱	oj
噶	oh
噻	on
噼	op
嚅	ot
嚆	oh
嚎	oi
嚏	ox
嚓	on
嚣	ot
嚯	ot
嚷	oi
嚼	oj
囊	ho
囔	oh
囗	qh
囚	qv
四	qh
囝	qz
回	qo
囟	jx
因	qr
囡	qa
团	qx
囤	ql
囫	qh
园	qh
困	qm
囱	jq
围	qf
囵	qv
囹	qv
固	qx
国	qg
图	qa
囿	qx
圃	qf
圄	qe
圆	qo
圈	qg
圉	qy
圊	qy
圜	qq
土	yh
圣	ya
在	xy
圩	yt
圪	yv
圬	yg
圭	yy
圮	yl
圯	yl
地	yl
圳	yg
圹	yj
场	yn
圻	yj
圾	ya
址	yy
坂	yj
均	yh
坊	yi
坌	yg
坍	yn
坎	yh
坏	yt
坐	yv
坑	yi
块	yz
坚	yg
坛	yg
坜	yj
坝	yr
坞	ys
坟	yi
坠	yp
坡	ya
坤	yb
坦	yb
坨	yn
坩	yb
坪	yt
坫	yl
坭	yp
坯	yt
坳	yw
坶	yq
坷	yt
坻	yc
坼	yj
垂	th
垃	yi
垄	xy
垅	yx
垆	yl
型	yh
垌	yn
垒	yu
垓	yi
垛	yw
垠	yr
垡	yv
垢	yj
垣	yg
垤	yu
垦	yr
垧	yj
垩	yh
垫	yf
垭	yh
垮	yr
垲	ye
垴	yi
垸	yn
埂	yh
埃	yu
埋	yb
城	ya
埏	ye
埒	yj
埔	yf
埕	yo
埘	yb
埙	yo
埚	yo
埝	yv
域	ya
埠	yb
埤	yb
埭	ye
埯	yr
埴	yx
埸	yb
培	yi
基	yb
埽	ye
堀	yp
堂	yw
堆	yv
堇	hh
堋	yn
堍	yh
堑	yl
堕	yp
堙	yq
堞	yh
堠	yv
堡	yv
堤	yb
堪	yb
堰	yc
堵	yj
塄	yq
塌	yb
塍	ng
塑	yk
塔	yh
塘	yj
塞	yn
塥	yh
填	yx
塬	yj
塾	yi
墀	yp
墁	yb
境	yi
墅	yb
墉	yj
墒	yi
墓	yh
墙	yy
墚	yd
增	yg
墟	yj
墨	yq
墩	yi
墼	yf
壁	yp
壅	iy
壑	yl
壕	yi
壤	yi
士	yh
壬	th
壮	ky
声	yp
壳	yw
壶	yx
壹	yh
夂	ad
处	al
备	aq
复	av
夏	tb
夔	ky
夕	dd
外	dl
夙	wt
多	dd
夜	iv
够	hd
夤	dn
夥	bd
大	rd
天	hr
太	rd
夫	rd
夭	jr
央	nr
夯	rx
失	jr
头	dr
夷	rw
夸	rg
夹	rg
夺	rx
夼	rg
奁	rc
奂	hn
奄	rb
奇	rt
奈	rt
奉	gf
奋	rq
奎	yr
奏	gh
契	fr
奔	rx
奕	ir
奖	kr
套	ru
奘	kr
奚	jw
奠	gr
奢	rj
奥	jr
女	ah
奴	aa
奶	ah
奸	at
她	al
好	az
妁	ah
如	ao
妃	al
妄	ia
妆	ka
妇	ae
妈	as
妊	at
妍	ah
妒	ap
妓	ax
妖	aj
妗	av
妙	aw
妞	an
妣	al
妤	az
妥	ja
妨	ai
妩	ag
妪	ac
妫	ad
妮	ap
妯	aq
妲	ab
妹	am
妻	ha
妾	ia
姆	aq
姊	aj
始	au
姐	ab
姑	ax
姒	al
姓	aj
委	ua
姗	an
姘	ak
姚	ax
姜	ga
姝	aj
姣	ai
姥	aj
姨	ar
姬	ac
姹	an
姻	aq
姿	da
威	aa
娃	ay
娄	xa
娅	ah
娆	aa
娇	aj
娈	ia
娉	aq
娌	ab
娑	da
娓	ap
娘	ad
娜	ah
娟	ao
娠	aj
娣	ag
娥	aj
娩	ah
娱	ao
娲	ao
娴	an
娶	pa
娼	ab
婀	ap
婆	da
婉	an
婊	ay
婕	ah
婚	ac
婢	ab
婧	ay
婪	ma
婴	ra
婵	ag
婶	an
婷	ai
婺	ra
婿	an
媒	ab
媚	ap
媛	aj
媪	ab
媲	aj
媳	ab
媵	ng
媸	au
媾	ao
嫁	an
嫂	au
嫉	aj
嫌	ak
嫒	aj
嫔	an
嫖	aq
嫘	aq
嫜	ai
嫠	yj
嫡	ai
嫣	ae
嫦	aw
嫩	am
嫫	ah
嫱	ay
嬉	ay
嬖	pa
嬗	ai
嬲	qa
嬴	in
嬷	aj
孀	at
子	zh
孑	zh
孓	wd
孔	zl
孕	hz
字	nz
存	xz
孙	zw
孚	jz
孛	xz
孜	az
孝	jz
孟	qz
孢	zh
季	uz
孤	zj
孥	az
学	wz
孩	zi
孪	iz
孬	ta
孰	ix
孱	pz
孳	kz
孵	cj
孺	zt
孽	hz
宀	nn
宁	nt
它	nl
宄	nx
宅	nj
宇	nt
守	nx
安	na
宋	nm
完	nh
宏	nx
宓	nw
宕	np
宗	nt
官	nb
宙	nq
定	nf
宛	nd
宜	nb
宝	ng
实	nd
宠	nx
审	nb
客	na
宣	ng
室	nu
宥	nx
宦	nc
宪	nf
宫	no
宰	ni
害	nf
宴	nb
宵	nw
家	ns
宸	nj
容	ng
宽	nh
宾	no
宿	nv
寂	ny
寄	nr
寅	nh
密	ne
寇	nh
富	nh
寐	nk
寒	nd
寓	nb
寝	nk
寞	nh
察	nx
寡	nt
寤	nk
寥	ne
寨	nm
寮	nr
寰	nq
寸	xd
对	ax
寺	yx
寻	ex
导	lx
寿	fx
封	yx
射	rx
将	kd
尉	px
尊	gx
小	wd
少	wj
尔	hw
尕	hw
尖	wr
尘	yw
尚	wn
尜	wr
尝	wg
尢	xl
尤	xl
尥	xh
尧	aw
尬	xv
就	ix
尴	xg
尸	pj
尹	ej
尺	pd
尻	px
尼	pl
尽	pd
尾	pl
尿	px
局	pn
屁	pl
层	pg
居	px
屈	pu
屉	ph
届	pq
屋	pu
屎	px
屏	pk
屐	pv
屑	pw
展	ph
屙	pp
属	pj
屠	pj
屡	px
屣	pv
履	pv
屦	pv
屮	ui
屯	lu
山	ei
屹	ev
屺	el
屿	eh
岁	ed
岂	el
岈	er
岌	ea
岍	eh
岐	ex
岑	ev
岔	ge
岖	ec
岗	en
岘	en
岙	je
岚	ew
岛	se
岜	el
岢	et
岣	eh
岩	ep
岫	eq
岬	eq
岭	ev
岱	ve
岳	oe
岵	ex
岷	el
岸	ej
岽	el
岿	eg
峁	ec
峄	ea
峋	eh
峒	en
峙	ey
峡	er
峤	ej
峥	eh
峦	ie
峨	ej
峪	eg
峭	ew
峰	ea
峻	eu
崂	eh
崃	eh
崆	en
崇	en
崎	er
崔	ev
崖	ej
崛	ep
崞	ei
崤	ex
崦	er
崧	em
崩	en
崭	el
崮	eq
崴	ea
崽	eq
崾	eq
嵇	ux
嵊	eu
嵋	ep
嵌	eb
嵘	eh
嵛	ev
嵝	ex
嵩	ei
嵫	ek
嵬	eb
嵯	eg
嵴	ex
嶂	ei
嶙	ex
嶝	ek
嶷	el
巅	ex
巍	eu
巛	ll
川	gi
州	dg
巡	zl
巢	lb
工	ih
左	xi
巧	ih
巨	cz
巩	iw
巫	iv
差	gi
巯	zi
己	ll
已	ll
巳	ll
巴	li
巷	hl
巽	lh
巾	ei
币	je
市	ie
布	xe
帅	ge
帆	ew
师	gt
希	xx
帏	ef
帐	ek
帑	ae
帔	ea
帕	eb
帖	el
帘	ne
帙	ej
帚	en
帛	be
帜	eo
帝	ie
带	he
帧	el
席	je
帮	fe
帱	ef
帷	ev
常	we
帻	ey
帼	eq
帽	en
幂	nb
幄	ep
幅	eh
幌	eb
幔	eb
幕	he
幛	ei
幞	ex
幡	eu
幢	ei
干	ti
平	tg
年	vf
并	kh
幸	yk
幺	wd
幻	wn
幼	wx
幽	ew
广	jj
庀	jl
庄	jy
庆	jr
庇	jl
床	jm
庋	jx
序	jz
庐	jp
庑	jg
库	jl
应	jw
底	jc
庖	jh
店	jl
庙	jq
庚	je
府	jv
庞	jx
废	jl
庠	jg
庥	jv
度	ja
座	jv
庭	jt
庳	jb
庵	jr
庶	jd
康	jf
庸	je
庹	jp
庾	ju
廉	jk
廊	jd
廑	jh
廒	jy
廓	ji
廖	je
廛	jb
廨	jh
廪	ji
廴	zd
延	ze
廷	zt
建	ze
廾	hi
廿	hh
开	hh
弁	uh
异	lh
弃	ih
弄	gh
弈	ih
弊	gh
弋	ad
式	ai
弑	xa
弓	wl
引	wi
弗	wg
弘	wu
弛	wl
弟	gw
张	wk
弥	wh
弦	wi
弧	wj
弩	aw
弪	wz
弭	wp
弯	iw
弱	ww
弹	wg
强	wo
弼	wh
彀	yw
彐	eh
归	ge
当	we
录	ex
彖	os
彗	fe
彘	ol
彝	ox
彡	jj
形	hj
彤	nj
彦	ij
彩	jj
彪	jj
彬	mj
彭	yj
彰	ij
影	bj
彳	vi
彷	vi
役	vw
彻	vl
彼	va
往	vd
征	ve
徂	vb
径	vz
待	vy
徇	vh
很	vr
徉	vg
徊	vq
律	ve
後	vw
徐	vv
徒	vy
徕	vh
得	vb
徘	vx
徙	vy
徜	vw
御	vv
徨	vb
循	vj
徭	vj
微	ve
徵	ve
德	vx
徼	vb
徽	ve
心	wd
忄	li
必	wj
忆	ln
忉	lh
忌	wl
忍	wh
忏	lt
忐	wy
忑	wf
忒	aw
忖	lx
志	wy
忘	wi
忙	li
忝	hl
忠	wf
忡	lf
忤	lv
忧	lx
忪	lg
快	lz
忭	ld
忮	lx
忱	ln
念	wv
忸	ln
忻	lj
忽	wh
忾	lk
忿	wg
怀	lt
态	wr
怂	wv
怃	lg
怄	lc
怅	lk
怆	lv
怊	lh
怍	lv
怎	vw
怏	ln
怒	wa
怔	le
怕	lb
怖	lx
怙	lx
怛	lb
怜	lv
思	wq
怠	wu
怡	lu
急	wh
怦	lt
性	lj
怨	wd
怩	lp
怪	la
怫	lw
怯	ly
怵	lm
总	gw
怼	wa
怿	la
恁	wv
恂	lh
恃	ly
恋	wi
恍	lw
恐	wi
恒	lg
恕	wa
恙	wg
恚	wy
恝	wf
恢	lx
恣	dw
恤	lj
恧	wt
恨	lr
恩	wq
恪	la
恫	ln
恬	lt
恭	hl
息	bw
恰	lv
恳	wr
恶	wh
恸	lg
恹	lj
恺	le
恻	lr
恼	li
恽	ln
恿	wz
悃	lq
悄	lw
悉	wu
悌	lg
悍	lb
悒	lo
悔	lv
悖	lx
悚	lm
悛	lu
悝	lb
悟	le
悠	wv
患	wf
悦	lg
您	wv
悫	wy
悬	wb
悭	lg
悯	ln
悱	lx
悲	wx
悴	li
悸	lu
悻	ly
悼	ll
情	ly
惆	ln
惊	li
惋	ln
惑	wa
惕	lb
惘	ln
惚	lh
惜	lh
惝	lw
惟	lv
惠	wc
惦	lj
惧	lb
惨	lu
惩	wv
惫	wa
惬	lc
惭	ll
惮	lg
惯	lq
惰	lx
想	wm
惴	le
惶	lb
惹	wh
惺	lb
愀	lu
愁	wu
愆	wv
愈	wv
愉	lv
愍	wl
愎	lv
意	iw
愕	lo
愚	wb
感	wa
愠	lb
愣	lq
愤	lx
愦	lf
愧	lb
愫	ly
愿	wj
慈	wk
慊	lk
慌	lh
慎	lx
慑	lp
慕	hl
慝	cw
慢	lb
慧	wf
慨	lr
慰	wp
慵	lj
慷	lj
憋	wg
憎	lg
憔	lv
憝	wi
憧	li
憨	wn
憩	tw
憬	lb
憷	lm
憾	la
懂	lh
懈	lh
懊	lj
懋	wm
懑	wd
懒	lm
懔	li
懦	lt
懵	lh
懿	yd
戆	wi
戈	ad
戊	ad
戋	ad
戌	ah
戍	ad
戎	ax
戏	aa
成	an
我	jf
戒	ah
戕	ka
或	ao
戗	va
战	la
戚	ay
戛	ta
戟	xa
戡	ba
戢	op
戤	ha
戥	ba
截	xv
戬	ha
戮	ea
戳	ea
戴	xq
户	pj
戽	pd
戾	pr
房	pi
所	jj
扁	pn
扃	pn
扇	pe
扈	po
扉	px
手	fi
扌	fh
才	xj
扎	fl
扑	fl
扒	fg
打	ft
扔	fh
托	fj
扛	fi
扣	fo
扦	ft
执	fx
扩	fj
扪	fn
扫	fe
扬	fn
扭	fn
扮	fg
扯	fy
扰	fx
扳	fj
扶	fr
批	fl
扼	fj
找	fa
承	wx
技	fx
抄	fw
抉	fz
把	fl
抑	fc
抒	fz
抓	fj
投	fw
抖	fd
抗	fi
折	fj
抚	fg
抛	fx
抟	fg
抠	fc
抡	fv
抢	fv
护	fp
报	pf
抨	ft
披	fa
抬	fu
抱	fh
抵	fc
抹	fm
抻	fb
押	fq
抽	fq
抿	fl
拂	fw
拄	fd
担	fb
拆	fj
拇	fq
拈	fl
拉	fi
拊	fv
拌	fg
拍	fb
拎	fv
拐	fo
拒	fc
拓	fp
拔	fx
拖	fv
拗	fw
拘	fh
拙	fu
拚	fu
招	fh
拜	fh
拟	fl
拢	fx
拣	fl
拥	fn
拦	fg
拧	fn
拨	fl
择	fa
括	ft
拭	fa
拮	fy
拯	fw
拱	fh
拳	gf
拴	fv
拶	fl
拷	fj
拼	fk
拽	fb
拾	fv
拿	vf
持	fy
挂	fy
指	fl
挈	ff
按	fn
挎	fr
挑	fx
挖	fn
挚	ff
挛	if
挝	fx
挞	fr
挟	fr
挠	fa
挡	fw
挢	fj
挣	fh
挤	fi
挥	fn
挨	fu
挪	fh
挫	fv
振	fj
挲	df
挹	fo
挺	ft
挽	fh
捂	fe
捃	fe
捅	fz
捆	fq
捉	fo
捋	fj
捌	fo
捍	fb
捎	fw
捏	fb
捐	fo
捕	ff
捞	fh
损	fo
捡	fv
换	fh
捣	fs
捧	fg
捩	fp
捭	fb
据	fp
捱	fj
捶	ft
捷	fh
捺	fr
捻	fv
掀	fj
掂	fj
掇	fa
授	fj
掉	fl
掊	fi
掌	wf
掎	fr
掏	fh
掐	fh
排	fx
掖	fi
掘	fp
掠	fi
探	fn
掣	ff
接	fi
控	fn
推	fv
掩	fr
措	fh
掬	fh
掭	fh
掮	fp
掰	fg
掳	fj
掴	fq
掷	fk
掸	fg
掺	fu
掼	fq
掾	fo
揄	fv
揆	fx
揉	fr
揍	fg
揎	fn
描	fh
提	fb
插	ft
揖	fo
揞	fi
揠	fc
握	fp
揣	fe
揩	fl
揪	fu
揭	fb
揲	fh
援	fj
揶	fp
揸	fm
揽	fg
揿	fz
搀	fh
搁	fn
搂	fx
搅	fw
搋	fj
搌	fp
搏	ff
搐	fi
搓	fg
搔	fa
搛	fk
搜	fu
搞	fi
搠	fk
搡	fa
搦	fw
搪	fj
搬	fr
搭	fh
搴	nf
携	fv
搽	fh
搿	fv
摁	fq
摄	jp
摅	fj
摆	fq
摇	fj
摈	fn
摊	fa
摒	fp
摔	fi
摘	fi
摞	fq
摧	fe
摩	jf
摭	fj
摸	fh
摹	hf
摺	fe
撂	fq
撄	fr
撅	fj
撇	fg
撑	fw
撒	fh
撕	fb
撖	fn
撙	fg
撞	fi
撤	fi
撩	fr
撬	fl
播	fu
撮	fb
撰	fl
撵	fr
撷	fy
撸	fu
撺	fn
撼	fa
擀	fx
擂	ft
擅	fi
操	fo
擎	hf
擐	fq
擒	fv
擗	fp
擘	pf
擞	fx
擢	fe
擤	fb
擦	fn
攀	mf
攉	ft
攒	ff
攘	fi
攥	fk
攫	fb
攮	fh
支	xa
攴	la
攵	ad
收	la
攸	av
改	al
攻	ai
放	ai
政	ae
故	ax
效	ai
敉	ax
敌	at
敏	av
救	ax
敕	am
敖	ay
教	aj
敛	av
敝	ag
敞	aw
敢	an
散	ah
敦	ai
敫	ab
敬	ah
数	ax
敲	il
整	me
敷	af
文	ix
斋	it
斌	ih
斐	xi
斑	gi
斓	in
斗	dx
料	xd
斛	hd
斜	vd
斟	bd
斡	xv
斤	jt
斥	jt
斧	gj
斩	lj
斫	pj
断	xj
斯	bj
新	ij
方	ih
於	iv
施	iv
旁	ii
旃	iv
旄	iv
旅	iv
旆	iv
旋	iv
旌	iv
旎	iv
族	iv
旒	iv
旖	iv
旗	iv
无	gw
既	rc
日	bh
旦	bh
旧	ib
旨	lb
早	bx
旬	hb
旭	xb
旮	xb
旯	bx
旰	bt
旱	bt
时	bx
旷	bj
旺	bg
昀	bh
昂	bc
昃	bj
昆	bl
昊	bh
昌	bb
明	bn
昏	cb
易	bh
昔	hb
昕	bj
昙	bg
昝	ab
星	bj
映	bn
春	gb
昧	bm
昨	bv
昭	bh
是	bf
昱	bi
昴	bc
昵	bp
昶	db
昼	pb
显	bx
晁	bx
晃	bw
晋	hb
晌	bj
晏	bn
晒	bq
晓	ba
晔	bv
晕	bn
晖	bn
晗	bv
晚	bh
晟	ba
晡	bf
晤	be
晦	bv
晨	bj
普	kb
景	bi
晰	bm
晴	by
晶	bb
晷	ba
智	vb
晾	bi
暂	lb
暄	bn
暇	bz
暌	bx
暑	bj
暖	bj
暗	bi
暝	bn
暧	bj
暨	rb
暮	hb
暴	bh
暹	zb
暾	bi
曙	bq
曛	bt
曜	be
曝	bb
曦	bg
曩	bi
曰	bh
曲	qh
曳	bl
更	hb
曷	bh
曹	qb
曼	bq
曾	gq
替	rb
最	bp
月	nh
有	xn
朊	nh
朋	nn
服	pn
朐	nh
朔	kn
朕	nk
朗	dn
望	ig
朝	xn
期	bn
朦	nh
木	md
未	md
末	md
本	mh
札	ml
术	md
朱	jm
朴	ml
朵	wm
机	mw
朽	mh
杀	xm
